Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.43260184,65.62361695,65.74060043,65.94292561,66.29727005,66.46033643,66.53594061,66.62734079,66.73545918,66.84037852,66.93653678,67.10617953,67.28798619,67.45636482,67.63048873,67.50388682,67.29884375,67.0939353,66.70748334,65.98225845,66.11608919,65.91311724,65.98215389,65.90335224,66.05388024,66.08559395,66.23799497,66.20021871,66.24872645,65.4525622,65.99371453,66.19564909
Afghanistan,AFG,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.101,16.17,16.19,16.204,16.278,16.112,15.951,15.834,15.757,15.697,15.828,16.01,16.205,16.391,16.566,16.356,16.165,16.011,15.924,15.938,16.283,16.719,17.72,18.757,19.832,20.946,22.1,20.631,19.117,17.071,15.322,5.342
Africa Western and Central,AFW,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.62376824,60.52518847,60.44328485,60.36666656,60.31227242,60.24241079,60.18706843,60.1441141,60.1234465,60.11204901,60.07062597,60.04764668,59.95724554,59.88799829,59.77357516,59.6327024,59.54776826,59.33245587,59.11003227,58.87851813,58.73188688,58.30606006,57.87199188,57.26923455,56.88184296,56.59502694,55.99022024,55.53220628,55.17660884,54.51599087,54.7110004,55.02717868
Angola,AGO,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.136,76.117,76.062,76.082,76.137,76.166,76.194,76.226,76.261,76.302,76.317,76.363,76.387,76.431,76.482,76.492,76.511,76.525,76.514,76.517,75.873,75.652,75.428,75.199,74.968,74.736,74.502,74.266,74.029,74.139,75.83,73.801
Albania,ALB,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.279,58.999,58.301,57.737,56.861,56.325,57.271,56.738,55.996,55.671,55.3,55.221,54.76,54.315,53.875,53.433,52.991,52.551,53.28,54.496,60.651,56.199,50.702,51.298,55.422,58.861,58.353,60.386,62.31,59.49,61.224,63.446
Andorra,AND,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.32400658,20.72049406,20.67897635,21.09419618,20.93613347,20.88543588,20.75626117,20.66189089,21.1808053,21.26240303,21.16086911,20.48923602,20.7356767,20.95266797,21.18223907,21.47615047,22.01592376,21.65678968,21.86569461,21.9773945,22.05960639,22.02934161,22.34661741,22.40062096,22.63873172,22.89816136,22.11618885,21.21856459,20.76599803,20.38459266,21.03006706,21.21801684
United Arab Emirates,ARE,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.219,30.731,31.425,31.656,31.893,32.433,32.787,33.172,33.619,34.148,34.774,35.501,36.32,37.213,37.979,38.782,39.444,40.212,41.225,42.553,44.069,45.585,47.107,48.639,50.177,51.709,53.886,54.39,58.401,62.876,54.588,55.981
Argentina,ARG,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.03,54.385,55.813,56.79,55.995,56.916,58.351,58.963,58.089,57.783,56.717,54.213,55.856,57.542,56.35,57.155,56.426,55.678,56.418,55.28,55.663,56.02,55.638,55.284,55.38,55.471,55.559,57.444,58.341,54.472,59.216,58.9
