Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,2021,1.032273649226,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,2020,1.03229841001386,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,2019,1.03223523533274,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,2018,1.03211954417692,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,2017,1.03169292781663,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,2016,1.03168457282248,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,2015,1.03150925762888,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,2014,1.03150031181654,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,2013,1.03145548922212,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,2012,1.0313336330554,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,2011,1.03135985318024,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,2010,1.03132760966961,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,2009,1.03116790985278,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,2008,1.03113685418962,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,2007,1.03104061435439,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,2006,1.03103543313487,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,2005,1.03122843078699,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,2004,1.03080106684432,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,2003,1.03077370566279,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,2002,1.03104531033581,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,2001,1.03133958179219,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,2000,1.03204438877095,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,1999,1.03260633666119,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,1998,1.03288637696683,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,1997,1.03326507407237,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,1996,1.03337902298106,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,1995,1.03347748841622,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,1994,1.03383078579972,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,1993,1.03397297792375,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,1992,1.03404038801032,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,1991,1.0340740527943,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,1990,1.03394587689313,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,1989,1.03403740461458,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,1988,1.03422036412589,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,1987,1.0344602170296,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,1986,1.03418470008744,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,1985,1.03407974008473,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,1984,1.0338436386394,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,1983,1.03379357422,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,1982,1.03375655006365,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,1981,1.03350281904416,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,1980,1.03354248182186,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,1979,1.03379236595471,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,1978,1.03378292557395,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,1977,1.03389828543986,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,1976,1.03393075242699,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,1975,1.03373038034651,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,1974,1.03369979406521,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,1973,1.03380689768504,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,1972,1.03373054841941,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,1971,1.03369940549894,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,1970,1.03368293226938,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,1969,1.03363142270451,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,1968,1.03359365902065,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,1967,1.03369708926399,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,1966,1.03380568014249,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,1965,1.03382174189608,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,1964,1.03380234610418,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,1963,1.03375814520416,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,1962,1.03372174596036,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,1961,1.03376860638342,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Eastern and Southern,AFE,1960,1.03368293924634,
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,Africa Western and Central,AFW,2021,1.03682426797979,
