iso_code,location,total_cases_per_million,population_density,aged_65_older,people_fully_vaccinated_per_hundred,hospital_beds_per_thousand
AFG,Afghanistan,5102.219,54.422,2.581,33.37,0.5
ALB,Albania,117413.323,104.871,13.188,,2.89
DZA,Algeria,6047.271,17.348,6.211,,1.9
ASM,American Samoa,187854.16,278.205,,,
AND,Andorra,600027.554,163.755,,,
AGO,Angola,2958.724,23.89,2.405,24.19,
AIA,Anguilla,245890.282,,,65.38,
ATG,Antigua and Barbuda,97107.879,231.845,6.933,,3.8
ARG,Argentina,220718.205,16.177,11.198,76.6,5
ARM,Armenia,161026.617,102.931,11.232,,4.2
ABW,Aruba,414074.902,584.8,13.085,79.07,
AUS,Australia,434752.712,3.202,15.504,,3.84
AUT,Austria,671561.88,106.749,19.202,,7.37
AZE,Azerbaijan,80060.316,119.309,6.018,,4.7
BHS,Bahamas,91443.917,39.497,8.996,,2.9
BHR,Bahrain,473167.024,1935.907,2.372,,2
BGD,Bangladesh,11905.025,1265.036,5.098,80.22,0.8
BRB,Barbados,379192.319,664.463,14.952,,5.8
BLR,Belarus,104251.871,46.858,14.799,,11
BEL,Belgium,408157.123,375.564,18.571,78.66,5.64
BLZ,Belize,174647.47,16.426,3.853,54.63,1.3
BEN,Benin,2096.854,99.11,3.244,,0.5
BMU,Bermuda,293363.652,1308.82,,,
BTN,Bhutan,80064.464,21.188,4.885,,1.7
BOL,Bolivia,97771.585,10.202,6.704,,1.1
BES,Bonaire Sint Eustatius and Saba,436603.578,,,,
BIH,Bosnia and Herzegovina,124313.985,68.496,16.569,,3.5
BWA,Botswana,125379.234,4.044,3.941,62.67,1.8
BRA,Brazil,172518.274,25.04,8.552,81.82,2.2
VGB,British Virgin Islands,233148.219,207.973,,,
BRN,Brunei,625364.698,81.347,4.591,99.45,2.7
BGR,Bulgaria,191479.89,65.18,20.801,30.62,7.454
BFA,Burkina Faso,972.754,70.151,2.409,18.21,0.4
BDI,Burundi,4163.129,423.062,2.562,0.26,0.8
KHM,Cambodia,8273.034,90.672,4.412,,0.8
CMR,Cameroon,4466.453,50.885,3.165,10.37,1.3
CAN,Canada,120092.048,4.037,16.984,,2.5
CPV,Cape Verde,106633.601,135.58,4.46,,2.1
CYM,Cayman Islands,457961.061,256.496,,,
CAF,Central African Republic,2754.363,7.479,3.655,,1
TCD,Chad,433.44,11.833,2.486,34.57,
CHL,Chile,266962.379,24.282,11.087,,2.11
CHN,China,69591.312,147.674,10.641,,4.34
COL,Colombia,122629.633,44.223,7.646,,1.71
COM,Comoros,10812.839,437.352,2.963,,2.2
COG,Congo,4205.727,15.405,3.402,,
COK,Cook Islands,412928.605,,,,
CRI,Costa Rica,235304.495,96.079,9.468,,1.13
CIV,Cote d'Ivoire,3135.202,76.399,2.933,,
HRV,Croatia,315126.858,73.726,19.724,55.86,5.54
CUB,Cuba,99242.272,110.408,14.738,89.28,5.2
CUW,Curacao,239505.579,362.644,16.367,,
CYP,Cyprus,729533.363,127.657,13.416,,3.4
CZE,Czechia,440960.493,137.176,19.027,65.68,6.63
COD,Democratic Republic of Congo,967.718,35.879,3.02,,
DNK,Denmark,578979.776,136.52,19.677,80.69,2.5
DJI,Djibouti,13998.292,41.285,4.213,31.07,1.4
DMA,Dominica,216608.483,98.567,,,3.8
DOM,Dominican Republic,58852.839,222.873,6.981,54.21,1.6
ECU,Ecuador,58774.728,66.939,7.104,79.1,1.5
EGY,Egypt,4647.73,97.999,5.159,37.57,1.6
SLV,El Salvador,31845.405,307.811,8.273,,1.3
GNQ,Equatorial Guinea,10227.379,45.194,2.846,,2.1
ERI,Eritrea,2765.713,44.304,3.607,,0.7
EST,Estonia,464326.759,31.033,19.452,64.97,4.69
SWZ,Eswatini,61849.244,79.492,3.163,34.88,2.1
ETH,Ethiopia,4054.241,104.957,3.526,,0.3
FRO,Faeroe Islands,652484.139,35.308,,,
FLK,Falkland Islands,505919.495,,,,
FJI,Fiji,74108.73,49.562,6.224,68.95,2.3
FIN,Finland,264277.457,18.136,21.228,78.47,3.28
FRA,France,597641.492,122.578,19.718,78.41,5.98
GUF,French Guiana,321901.841,,,,
PYF,French Polynesia,254988.704,77.324,7.775,,
GAB,Gabon,20502.747,7.859,4.45,,6.3
GMB,Gambia,4655.589,207.566,2.339,19.66,1.1
GEO,Georgia,489204.769,65.032,14.864,,2.6
DEU,Germany,459480.083,237.016,21.453,76.24,8
GHA,Ghana,5116.76,126.719,3.385,30.19,0.9
GIB,Gibraltar,626189.675,3457.1,,,
GRC,Greece,570095.711,83.479,20.396,73.61,4.21
GRL,Greenland,211898.609,0.137,,,
GRD,Grenada,156863.995,317.132,7.304,31.11,3.7
GLP,Guadeloupe,510417.877,,,,
GUM,Guam,296624.229,304.128,9.551,,
GTM,Guatemala,69548.419,157.834,4.694,39.83,0.6
GGY,Guernsey,554864.28,,,,
GIN,Guinea,2762.034,51.755,3.135,34.09,0.3
GNB,Guinea-Bissau,4337.997,66.191,3.002,17.19,
GUY,Guyana,90395.152,3.952,5.305,,1.6
HTI,Haiti,2952.265,398.448,4.8,,0.7
HND,Honduras,45274.267,82.805,4.652,55.76,0.7
HKG,Hong Kong,,7039.714,16.303,90.77,
HUN,Hungary,220502.956,108.043,18.577,,7.02
ISL,Iceland,560979.665,3.404,14.431,,2.91
IND,India,31539.537,450.419,5.989,67.17,0.53
IDN,Indonesia,24471.971,145.725,5.319,,1.04
IRN,Iran,85610.495,49.831,5.44,,1.5
IRQ,Iraq,55410.332,88.125,3.186,,1.4
IRL,Ireland,339490.013,69.874,13.928,80.86,2.96
IMN,Isle of Man,449617.905,147.872,,,
ISR,Israel,509013.017,402.606,11.733,65.19,2.99
ITA,Italy,434490.234,205.859,23.021,81.26,3.18
JAM,Jamaica,54633.933,266.879,9.684,26.66,1.7
JPN,Japan,269252.492,347.778,27.049,83.37,13.05
JEY,Jersey,599218.383,,,,
JOR,Jordan,154794.998,109.285,3.81,,1.4
KAZ,Kazakhstan,77338.239,6.681,6.991,,6.7
KEN,Kenya,6347.751,87.324,2.686,,1.4
KIR,Kiribati,38205.689,143.701,3.895,,1.9
KWT,Kuwait,155724.936,232.128,2.345,78.36,2
KGZ,Kyrgyzstan,31179.583,32.333,4.489,20.72,4.5
LAO,Laos,28956.46,29.715,4.029,,1.5
LVA,Latvia,527670.218,31.212,19.754,,5.57
LBN,Lebanon,224749.46,594.561,8.514,,2.9
LSO,Lesotho,14957.764,73.562,4.506,40.68,
LBR,Liberia,1525.641,49.127,3.057,,0.8
LBY,Libya,74453.962,3.623,4.424,,3.7
LIE,Liechtenstein,545140.389,237.012,,67.24,2.397
LTU,Lithuania,476874.306,45.135,19.002,68.37,6.56
LUX,Luxembourg,492511.593,231.447,14.312,,4.51
MAC,Macao,,20546.766,9.798,92.29,
