iso_code,location,total_cases,total_deaths,people_vaccinated,people_fully_vaccinated,population_density,aged_65_older,gdp_per_capita,hospital_beds_per_thousand,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AFG,Afghanistan,209848,7881,14437250,13723342,54.422,2.581,1803.987,0.5,,,,
ALB,Albania,333726,3601,,,104.871,13.188,11803.431,2.89,,,,
DZA,Algeria,271542,6881,,,17.348,6.211,13913.839,1.9,,,,
ASM,American Samoa,8321,34,,,278.205,,,,,,,
AND,Andorra,47908,159,,,163.755,,,,,,,
AGO,Angola,105298,1933,15477545,8610500,23.89,2.405,5819.495,,,,,
AIA,Anguilla,3904,12,10854,10380,,,,,,,,
ATG,Antigua and Barbuda,9106,146,,,231.845,6.933,21490.943,3.8,,,,
ARG,Argentina,10044957,130472,41481168,34860793,16.177,11.198,18933.907,5,,,,
ARM,Armenia,447730,8732,,,102.931,11.232,8787.58,4.2,,,,
ABW,Aruba,44082,286,90336,84172,584.8,13.085,35973.781,,,,,
AUS,Australia,11380700,19447,,,3.202,15.504,44648.71,3.84,,,,
AUT,Austria,6003506,22043,,,106.749,19.202,45436.686,7.37,,,,
AZE,Azerbaijan,829271,10153,,,119.309,6.018,15847.419,4.7,,,,
BHS,Bahamas,37491,833,,,39.497,8.996,27717.847,2.9,,,,
BHR,Bahrain,696614,1536,,,1935.907,2.372,43290.705,2,,,,
BGD,Bangladesh,2037978,29445,151206039,137317803,1265.036,5.098,3523.984,0.8,,,,
BRB,Barbados,106798,579,,,664.463,14.952,16978.068,5.8,,,,
BLR,Belarus,994037,7118,,,46.858,14.799,17167.967,11,,,,
BEL,Belgium,4757448,33885,9265890,9168265,375.564,18.571,42658.576,5.64,,,,
BLZ,Belize,70782,688,251956,221390,16.426,3.853,7824.362,1.3,,,,
BEN,Benin,27999,163,,,99.11,3.244,2064.236,0.5,,,,
BMU,Bermuda,18836,161,,,1308.82,,50669.315,,,,,
BTN,Bhutan,62647,21,,,21.188,4.885,8708.597,1.7,,,,
BOL,Bolivia,1195171,22368,,,10.202,6.704,6885.829,1.1,,,,
BES,Bonaire Sint Eustatius and Saba,11811,41,,,,,,,,,,
BIH,Bosnia and Herzegovina,401973,16296,,,68.496,16.569,11713.895,3.5,,,,
BWA,Botswana,329785,2795,1945438,1648426,4.044,3.941,15807.374,1.8,,,,
BRA,Brazil,37145514,699634,189643431,176164186,25.04,8.552,14103.452,2.2,,,,
VGB,British Virgin Islands,7305,64,,,207.973,,,,,,,
BRN,Brunei,280790,150,450944,446551,81.347,4.591,71809.251,2.7,,,,
BGR,Bulgaria,1298608,38240,,2076436,65.18,20.801,18563.307,7.454,,,,
